City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Caravelas,BR,76.21,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
5,Kapaa,US,87.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Butaritari,KI,82.81,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Georgetown,MY,87.73,broken clouds,5.4112,100.3354,Cititel Penang
18,Labrea,BR,78.87,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
24,Nelson Bay,AU,75.76,few clouds,-32.7167,152.15,Mantra Nelson Bay
42,Faanui,PF,80.6,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Carnarvon,AU,75.52,clear sky,-24.8667,113.6333,Hospitality Carnarvon
49,Manaure,CO,83.75,overcast clouds,11.7751,-72.4445,Hotel Palaaima
50,Kimbe,PG,89.38,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
51,Itoman,JP,88.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
54,Pochutla,MX,82.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
58,San Pedro,PH,79.65,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
59,Hithadhoo,MV,83.44,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Mogadishu,SO,77.61,few clouds,2.0371,45.3438,Hotel Juba
61,Atuona,PF,78.01,light rain,-9.8,-139.0333,Villa Enata
66,Tevaitoa,PF,80.76,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
71,Hurghada,EG,76.28,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
76,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
86,Ipixuna,BR,78.75,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
88,Lakatoro,VU,81.57,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
90,Isangel,VU,79.81,scattered clouds,-19.55,169.2667,Tanna Lodge
91,Kapit,MY,86.29,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
95,Kokopo,PG,85.82,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
96,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
101,Lahaina,US,82.4,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
102,Buala,SB,85.08,light rain,-8.145,159.5921,Maringe Lagoon Lodge
105,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
106,Pangkalanbuun,ID,80.98,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
107,Kalmunai,LK,81.86,overcast clouds,7.4167,81.8167,VS Villa
109,Moerai,PF,76.86,clear sky,-22.4333,-151.3333,Le Manotel
110,Airai,TL,79.29,broken clouds,-8.9266,125.4092,Juvinal Martin
116,Bengkulu,ID,81.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,Rock Sound,BS,81.7,clear sky,24.9,-76.2,Rock Sound Club
122,Hasaki,JP,79.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
128,Tucurui,BR,81.27,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
130,Cockburn Town,TC,82.8,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
139,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Tacotalpa,MX,80.49,overcast clouds,17.6,-92.8167,oro verde tacotalpa
149,Trairi,BR,79.27,clear sky,-3.2778,-39.2689,janelas do mar
152,Jardim,BR,80.49,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
156,Dingle,PH,82.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
164,Dicabisagan,PH,81.19,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
169,Roebourne,AU,86.05,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
171,Samarai,PG,82.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
174,Yaring,TH,84.11,moderate rain,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
176,Soure,BR,81.05,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
177,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
178,Sao Filipe,CV,78.12,broken clouds,14.8961,-24.4956,Hotel Xaguate
181,San Policarpo,PH,81.36,broken clouds,12.1791,125.5072,Agapita M. Nicart
